REGION,FUEL,YEAR,VALUE
RE1,AN_INDDHT,2040,11.08344663935255
RE1,AN_INDDHT,2041,11.48987015669157
RE1,AN_INDDHT,2042,11.91830820558868
RE1,AN_INDDHT,2043,12.36445562741539
RE1,AN_INDDHT,2044,12.83068116687527
RE1,AN_INDDHT,2045,13.31427532722831
RE1,AN_INDDHT,2046,13.81520740876761
RE1,AN_INDDHT,2047,14.33884427264494
RE1,AN_INDDHT,2048,14.88214088959701
RE1,AN_INDDHT,2049,15.44546352537032
RE1,AN_INDDHT,2050,16.02983447964541
RE1,AN_INDDHT,2051,16.63696306299359
RE1,AN_INDDHT,2052,17.26781087087387
RE1,AN_INDDHT,2053,17.95023897389104
RE1,AN_INDDHT,2054,18.65710978853946
RE1,AN_INDIHT,2022,10.56877507647326
RE1,AN_INDIHT,2023,9.92475796397938
RE1,AN_INDIHT,2024,9.799968972432044
RE1,AN_INDIHT,2025,10.02741645258717
RE1,AN_INDIHT,2026,10.22845574588481
RE1,AN_INDIHT,2027,10.37560890341967
RE1,AN_INDIHT,2028,10.57893103148087
RE1,AN_INDIHT,2029,10.80306237361452
RE1,AN_INDIHT,2030,10.95683379078196
RE1,AN_INDIHT,2031,11.14480355955082
RE1,AN_INDIHT,2032,11.2960697509175
RE1,AN_INDIHT,2033,11.43642958995037
RE1,AN_INDIHT,2034,11.78758916076513
RE1,AN_INDIHT,2035,12.23751862151389
RE1,AN_INDIHT,2036,12.68380981187519
RE1,AN_INDIHT,2037,13.1522814474898
RE1,AN_INDIHT,2038,13.64052343528459
RE1,AN_INDIHT,2039,14.14877639039517
RE1,AN_INDIHT,2040,14.67768434086577
RE1,AN_INDIHT,2041,15.22816804741519
RE1,AN_INDIHT,2042,15.80776323091098
RE1,AN_INDIHT,2043,16.41186297783236
RE1,AN_INDIHT,2044,17.04369169647131
RE1,AN_INDIHT,2045,17.70000241595496
RE1,AN_INDIHT,2046,18.38037234787375
RE1,AN_INDIHT,2047,19.09192474497856
RE1,AN_INDIHT,2048,19.83084643426904
RE1,AN_INDIHT,2049,20.59776502636126
RE1,AN_INDIHT,2050,21.393912930594
RE1,AN_INDIHT,2051,22.22164580638504
RE1,AN_INDIHT,2052,23.08225439645489
RE1,AN_INDIHT,2053,23.99735612024498
RE1,AN_INDIHT,2054,24.94532649171824
RE1,AN_INDILU,2022,0.1806945922561664
RE1,AN_INDILU,2023,0.1625903474833513
RE1,AN_INDILU,2024,0.158477449700354
RE1,AN_INDILU,2025,0.1629306980996997
RE1,AN_INDILU,2026,0.1660788854913488
RE1,AN_INDILU,2027,0.1683477057329124
RE1,AN_INDILU,2028,0.1715915873199318
RE1,AN_INDILU,2029,0.1752639870743969
RE1,AN_INDILU,2030,0.1776944593069243
RE1,AN_INDILU,2031,0.1801200440750041
RE1,AN_INDILU,2032,0.1823961877612556
RE1,AN_INDILU,2033,0.1844904375507929
RE1,AN_INDILU,2034,0.190042544993216
RE1,AN_INDILU,2035,0.1972701801869605
RE1,AN_INDILU,2036,0.2044350250385989
RE1,AN_INDILU,2037,0.2119768995159382
RE1,AN_INDILU,2038,0.2198438568864516
RE1,AN_INDILU,2039,0.2280300768716512
RE1,AN_INDILU,2040,0.2365372450202351
RE1,AN_INDILU,2041,0.2453809467975819
RE1,AN_INDILU,2042,0.2547360037897781
RE1,AN_INDILU,2043,0.2644876233838565
RE1,AN_INDILU,2044,0.2746972960270814
RE1,AN_INDILU,2045,0.2852931131380141
RE1,AN_INDILU,2046,0.2962849819250462
RE1,AN_INDILU,2047,0.3077891799917193
RE1,AN_INDILU,2048,0.3197365743119699
RE1,AN_INDILU,2049,0.3321344339195012
RE1,AN_INDILU,2050,0.3450122042794334
RE1,AN_INDILU,2051,0.3584115015611581
RE1,AN_INDILU,2052,0.3723563988215529
RE1,AN_INDILU,2053,0.3868617363641014
RE1,AN_INDILU,2054,0.4018846155693947
RE1,AN_INDMPW,2022,4.457500917127012
RE1,AN_INDMPW,2023,3.980400304388362
RE1,AN_INDMPW,2024,3.896433430177311
RE1,AN_INDMPW,2025,3.995031709568192
RE1,AN_INDMPW,2026,4.075218780978472
RE1,AN_INDMPW,2027,4.133689812557623
RE1,AN_INDMPW,2028,4.215760676849705
RE1,AN_INDMPW,2029,4.307971685253997
RE1,AN_INDMPW,2030,4.370042117562367
RE1,AN_INDMPW,2031,4.433771392126787
RE1,AN_INDMPW,2032,4.492648131892154
RE1,AN_INDMPW,2033,4.547392409330079
RE1,AN_INDMPW,2034,4.687236040500309
RE1,AN_INDMPW,2035,4.867997164883326
RE1,AN_INDMPW,2036,5.047156507078379
RE1,AN_INDMPW,2037,5.235643508749073
RE1,AN_INDMPW,2038,5.432252654871198
RE1,AN_INDMPW,2039,5.636897990963602
RE1,AN_INDMPW,2040,5.849675326952503
RE1,AN_INDMPW,2041,6.070978554710502
RE1,AN_INDMPW,2042,6.304962002516785
RE1,AN_INDMPW,2043,6.548917808552879
RE1,AN_INDMPW,2044,6.804299205810887
RE1,AN_INDMPW,2045,7.069390821223307
RE1,AN_INDMPW,2046,7.344410581727985
RE1,AN_INDMPW,2047,7.632266651526085
RE1,AN_INDMPW,2048,7.931273452172616
RE1,AN_INDMPW,2049,8.241623509920137
RE1,AN_INDMPW,2050,8.564044810757007
RE1,AN_INDMPW,2051,8.899565979547553
RE1,AN_INDMPW,2052,9.24877968813877
RE1,AN_INDMPW,2053,9.612090780540951
RE1,AN_INDMPW,2054,9.988409509552438
RE1,AN_INDREF,2022,0.2132618910930623
RE1,AN_INDREF,2023,0.2170482454984826
RE1,AN_INDREF,2024,0.2134141730661204
RE1,AN_INDREF,2025,0.2181018675570808
RE1,AN_INDREF,2026,0.2225653369822398
RE1,AN_INDREF,2027,0.2258070211090839
RE1,AN_INDREF,2028,0.2303287173996198
RE1,AN_INDREF,2029,0.2353845835982619
RE1,AN_INDREF,2030,0.2387831592082139
RE1,AN_INDREF,2031,0.242192495750507
RE1,AN_INDREF,2032,0.2455070100714109
RE1,AN_INDREF,2033,0.2486783884872645
RE1,AN_INDREF,2034,0.2565130998735208
RE1,AN_INDREF,2035,0.2665111925887039
RE1,AN_INDREF,2036,0.2763850118572181
RE1,AN_INDREF,2037,0.2867715713969217
RE1,AN_INDREF,2038,0.2976088283638303
RE1,AN_INDREF,2039,0.3088937258687753
RE1,AN_INDREF,2040,0.3206359159039172
RE1,AN_INDREF,2041,0.3328590047926145
RE1,AN_INDREF,2042,0.3457984311549804
RE1,AN_INDREF,2043,0.3592906033554255
RE1,AN_INDREF,2044,0.3734040971290463
RE1,AN_INDREF,2045,0.3880412809653851
RE1,AN_INDREF,2046,0.4032255096617446
RE1,AN_INDREF,2047,0.4191221064125549
RE1,AN_INDREF,2048,0.4356356985124647
RE1,AN_INDREF,2049,0.4527749861754353
RE1,AN_INDREF,2050,0.4705857341977872
RE1,AN_INDREF,2051,0.4891240579245091
RE1,AN_INDREF,2052,0.5084218323852568
RE1,AN_INDREF,2053,0.5284988500172697
RE1,AN_INDREF,2054,0.5492932502171078
RE1,AN_RESCLIM_RUR,2022,0.03450590808612554
RE1,AN_RESCLIM_RUR,2023,0.03215395544742298
RE1,AN_RESCLIM_RUR,2024,0.03915667573980658
RE1,AN_RESCLIM_RUR,2025,0.04199687336005717
RE1,AN_RESCLIM_RUR,2026,0.04425160032686586
RE1,AN_RESCLIM_RUR,2027,0.04661962453691479
RE1,AN_RESCLIM_RUR,2028,0.04910883012340392
RE1,AN_RESCLIM_RUR,2029,0.05171968689827008
RE1,AN_RESCLIM_RUR,2030,0.05446768817864898
RE1,AN_RESCLIM_RUR,2031,0.05732703840441572
RE1,AN_RESCLIM_RUR,2032,0.06026461160249883
RE1,AN_RESCLIM_RUR,2033,0.06328442869223273
RE1,AN_RESCLIM_RUR,2034,0.06638634887485716
RE1,AN_RESCLIM_RUR,2035,0.06957124132554492
RE1,AN_RESCLIM_RUR,2036,0.07284529868584633
RE1,AN_RESCLIM_RUR,2037,0.07620561564016992
RE1,AN_RESCLIM_RUR,2038,0.0796534731797887
RE1,AN_RESCLIM_RUR,2039,0.08319051719495937
RE1,AN_RESCLIM_RUR,2040,0.08681535148398005
RE1,AN_RESCLIM_RUR,2041,0.0905305884130545
RE1,AN_RESCLIM_RUR,2042,0.0943316414514565
RE1,AN_RESCLIM_RUR,2043,0.09822051951217102
RE1,AN_RESCLIM_RUR,2044,0.1021943769491873
RE1,AN_RESCLIM_RUR,2045,0.1062515161588051
RE1,AN_RESCLIM_RUR,2046,0.1103903835360855
RE1,AN_RESCLIM_RUR,2047,0.11459933330117
RE1,AN_RESCLIM_RUR,2048,0.1188756683445855
RE1,AN_RESCLIM_RUR,2049,0.1231987092731175
RE1,AN_RESCLIM_RUR,2050,0.1275798960031158
RE1,AN_RESCLIM_RUR,2051,0.1296187487932415
RE1,AN_RESCLIM_RUR,2052,0.1316332106464748
RE1,AN_RESCLIM_RUR,2053,0.1336212121104528
RE1,AN_RESCLIM_RUR,2054,0.1355806882843655
RE1,AN_RESCLIM_URB,2022,0.07334319637603813
RE1,AN_RESCLIM_URB,2023,0.07519096613946387
RE1,AN_RESCLIM_URB,2024,0.1599500492148354
RE1,AN_RESCLIM_URB,2025,0.165448007160097
RE1,AN_RESCLIM_URB,2026,0.181056315747692
RE1,AN_RESCLIM_URB,2027,0.1971437191146794
RE1,AN_RESCLIM_URB,2028,0.2136272359792147
RE1,AN_RESCLIM_URB,2029,0.2304127548991034
RE1,AN_RESCLIM_URB,2030,0.247404569271386
RE1,AN_RESCLIM_URB,2031,0.264512244687571
RE1,AN_RESCLIM_URB,2032,0.2819934289860486
RE1,AN_RESCLIM_URB,2033,0.2998454363241095
RE1,AN_RESCLIM_URB,2034,0.3180538175461393
RE1,AN_RESCLIM_URB,2035,0.3366057330122846
RE1,AN_RESCLIM_URB,2036,0.355499480880675
RE1,AN_RESCLIM_URB,2037,0.3747200576618777
RE1,AN_RESCLIM_URB,2038,0.3942727737677119
RE1,AN_RESCLIM_URB,2039,0.4141569082371684
RE1,AN_RESCLIM_URB,2040,0.4343650957708255
RE1,AN_RESCLIM_URB,2041,0.4548858114288944
RE1,AN_RESCLIM_URB,2042,0.4756991017167763
RE1,AN_RESCLIM_URB,2043,0.496801117804782
RE1,AN_RESCLIM_URB,2044,0.5181834846529567
RE1,AN_RESCLIM_URB,2045,0.5398347753786866
RE1,AN_RESCLIM_URB,2046,0.561775659079742
