REGION,FUEL,YEAR,VALUE
RE1,NE_RESTV_URB,2022,0.217465624
RE1,NE_RESWHT_RUR,2022,0.046044944
RE1,NE_RESWHT_URB,2022,0.530260873
RE1,NE_RESWSH_RUR,2022,0.038131457
RE1,NE_RESWSH_URB,2022,0.196307147
RE1,NE_TERCLIM_CEN,2022,1.848
RE1,NE_TERCLIM_FAN,2022,0.052
RE1,NE_TERCLIM_SPL,2022,0.203
RE1,NE_TERDHT,2022,2.046
RE1,NE_TERIHT,2022,0.158
RE1,NE_TERILU,2022,0.21
RE1,NE_TERMPW,2022,0.184
RE1,NE_TEROTH,2022,0.904
RE1,NE_TERREF_AUC,2022,0.143
RE1,NE_TERREF_CEN,2022,0.227
RE1,NE_TRAAVI,2022,10.400625
RE1,NE_TRABUS,2022,1.430773944
RE1,NE_TRAFWD,2022,1.929871339
RE1,NE_TRAMIC,2022,0.341974257
RE1,NE_TRAMTC,2022,2.211083764
RE1,NE_TRASTT,2022,5.978510561
RE1,NE_TRATAX,2022,1.053531007
RE1,NE_TRATCK,2022,2.25846621
RE1,OR_AGFELC,2022,0.5852293
RE1,OR_AGFHEA,2022,7.4221758
RE1,OR_INDCLIM,2022,0.165834704
RE1,OR_INDDHT,2022,9.144226698
RE1,OR_INDIHT,2022,19.68100303
RE1,OR_INDILU,2022,0.40830166
RE1,OR_INDMPW,2022,8.098187406
RE1,OR_INDREF,2022,0.499047244
RE1,OR_RESCLIM_RUR,2022,0.010737407
RE1,OR_RESCLIM_URB,2022,0.132776498
RE1,OR_RESDHT_RUR,2022,1.404781703
RE1,OR_RESDHT_URB,2022,12.09413698
RE1,OR_RESILU_RUR,2022,0.020071799
RE1,OR_RESILU_URB,2022,0.255081897
RE1,OR_RESOTH_RUR,2022,0.14187012
RE1,OR_RESOTH_URB,2022,1.418027244
RE1,OR_RESREF_RUR,2022,0.060001928
RE1,OR_RESREF_URB,2022,1.827588418
RE1,OR_RESTV_RUR,2022,0.065824662
RE1,OR_RESTV_URB,2022,0.499778038
RE1,OR_RESWHT_RUR,2022,0.127526853
RE1,OR_RESWHT_URB,2022,4.235320223
RE1,OR_RESWSH_RUR,2022,0.047217363
RE1,OR_RESWSH_URB,2022,0.501427289
RE1,OR_TERCLIM_CEN,2022,5.353
RE1,OR_TERCLIM_FAN,2022,0.15
RE1,OR_TERCLIM_SPL,2022,0.589
RE1,OR_TERDHT,2022,7.658
RE1,OR_TERIHT,2022,0.458
RE1,OR_TERILU,2022,0.609
RE1,OR_TERMPW,2022,0.534
RE1,OR_TEROTH,2022,2.619
RE1,OR_TERREF_AUC,2022,0.415
RE1,OR_TERREF_CEN,2022,0.659
RE1,OR_TRAAVI,2022,10.400625
RE1,OR_TRABUS,2022,9.114493866
RE1,OR_TRAFWD,2022,8.471004254
RE1,OR_TRAMET,2022,0.25
RE1,OR_TRAMIC,2022,1.345929932
RE1,OR_TRAMTC,2022,3.968611885
RE1,OR_TRASTT,2022,15.26059724
RE1,OR_TRATAX,2022,3.401582906
RE1,OR_TRATCK,2022,9.67034168
RE1,SE_AGFELC,2022,0.0178568
RE1,SE_AGFHEA,2022,0.2266759
RE1,SE_OTHDSL,2022,0.001022629
RE1,SE_OTHELC,2022,0.011517203
RE1,SE_OTHGSL,2022,0.000189099
RE1,SE_RESCLIM,2022,0.010962
RE1,SE_RESDHT,2022,0.413271
RE1,SE_RESOTH,2022,0.028821
RE1,SE_RESREF,2022,0.020523
RE1,SE_TERCLIM_CEN,2022,0.005
RE1,SE_TERCLIM_SPL,2022,0.001
RE1,SE_TERDHT,2022,0.039
RE1,SE_TEROTH,2022,0.005
RE1,SE_TERREF_AUC,2022,0.0
RE1,SE_TERREF_CEN,2022,0.001
RE1,SE_TRAAVI,2022,0.395751
RE1,SE_TRAFWD,2022,0.005472
RE1,SE_TRAMIC,2022,0.000891
RE1,SE_TRAMTC,2022,0.079029
RE1,SE_TRATAX,2022,0.005332
RE1,SE_TRATCK,2022,0.004106
RE1,SO_AGFELC,2022,1.0778389
RE1,SO_AGFHEA,2022,13.6813383
RE1,SO_INDCLIM,2022,0.166433237
RE1,SO_INDDHT,2022,21.43415133
RE1,SO_INDIHT,2022,60.70739354
RE1,SO_INDILU,2022,0.333460474
RE1,SO_INDMPW,2022,7.34336115
RE1,SO_INDREF,2022,0.223462082
RE1,SO_RESCLIM_RUR,2022,0.012523144
RE1,SO_RESCLIM_URB,2022,0.242228215
RE1,SO_RESDHT_RUR,2022,5.321990927
RE1,SO_RESDHT_URB,2022,8.925980106
RE1,SO_RESILU_RUR,2022,0.041478854
RE1,SO_RESILU_URB,2022,0.244584823
RE1,SO_RESOTH_RUR,2022,0.291041409
RE1,SO_RESOTH_URB,2022,1.406417326
RE1,SO_RESREF_RUR,2022,0.102240875
RE1,SO_RESREF_URB,2022,1.882609101
RE1,SO_RESTV_RUR,2022,0.129476265
RE1,SO_RESTV_URB,2022,0.485514337
RE1,SO_RESWHT_RUR,2022,0.048132562
RE1,SO_RESWHT_URB,2022,1.196060865
RE1,SO_RESWSH_RUR,2022,0.054057019
RE1,SO_RESWSH_URB,2022,0.435580263
RE1,SO_TERCLIM_CEN,2022,4.5
RE1,SO_TERCLIM_FAN,2022,0.126
RE1,SO_TERCLIM_SPL,2022,0.495
RE1,SO_TERDHT,2022,4.194
RE1,SO_TERIHT,2022,0.385
RE1,SO_TERILU,2022,0.512
RE1,SO_TERMPW,2022,0.449
RE1,SO_TEROTH,2022,2.202
RE1,SO_TERREF_AUC,2022,0.349
RE1,SO_TERREF_CEN,2022,0.554
RE1,SO_TRAAVI,2022,19.37099
RE1,SO_TRABUS,2022,1.942784071
RE1,SO_TRAFWD,2022,3.305223882
RE1,SO_TRAMIC,2022,0.553036494
RE1,SO_TRAMRT,2022,1.794565
RE1,SO_TRAMTC,2022,4.884313242
RE1,SO_TRASTT,2022,3.140000987
RE1,SO_TRATAX,2022,2.349118226
RE1,SO_TRATCK,2022,3.593014424
RE1,AN_AGFELC,2023,0.4771851
RE1,AN_AGFHEA,2023,5.9187802
RE1,AN_INDCLIM,2023,0.08067129
RE1,AN_INDDHT,2023,7.485252644
RE1,AN_INDIHT,2023,12.02649126
RE1,AN_INDILU,2023,0.22582349
RE1,AN_INDMPW,2023,4.09729699
RE1,AN_INDREF,2023,0.276660333
RE1,AN_RESCLIM_RUR,2023,0.028480309
RE1,AN_RESCLIM_URB,2023,0.098869545
RE1,AN_RESDHT_RUR,2023,1.076954196
RE1,AN_RESDHT_URB,2023,4.752413853
RE1,AN_RESILU_RUR,2023,0.042947862
RE1,AN_RESILU_URB,2023,0.180647057
RE1,AN_RESOTH_RUR,2023,0.223218548
RE1,AN_RESOTH_URB,2023,0.94032188
RE1,AN_RESREF_RUR,2023,0.093780084
RE1,AN_RESREF_URB,2023,1.321196895
RE1,AN_RESTV_RUR,2023,0.104291699
RE1,AN_RESTV_URB,2023,0.325290006
RE1,AN_RESWHT_RUR,2023,0.106644323
RE1,AN_RESWHT_URB,2023,1.618744715
RE1,AN_RESWSH_RUR,2023,0.075339226
RE1,AN_RESWSH_URB,2023,0.350404325
RE1,AN_TERCLIM_CEN,2023,3.026
RE1,AN_TERCLIM_FAN,2023,0.085
RE1,AN_TERCLIM_SPL,2023,0.333
RE1,AN_TERDHT,2023,3.13
RE1,AN_TERIHT,2023,0.252
RE1,AN_TERILU,2023,0.344
RE1,AN_TERMPW,2023,0.302
RE1,AN_TEROTH,2023,1.481
RE1,AN_TERREF_AUC,2023,0.235
RE1,AN_TERREF_CEN,2023,0.372
RE1,AN_TRAAVI,2023,13.605912
RE1,AN_TRABUS,2023,2.971340063
RE1,AN_TRAFWD,2023,2.633051884
RE1,AN_TRAMET,2023,0.119
RE1,AN_TRAMIC,2023,0.46315873
RE1,AN_TRAMRT,2023,0.877915
RE1,AN_TRAMTC,2023,2.70665624
RE1,AN_TRASTT,2023,6.850647018
RE1,AN_TRATAX,2023,1.634159942
RE1,AN_TRATCK,2023,3.372934337
RE1,CA_AGFELC,2023,0.4363916
RE1,CA_AGFHEA,2023,5.4073656
RE1,CA_INDCLIM,2023,0.101171724
RE1,CA_INDDHT,2023,8.830805767
RE1,CA_INDIHT,2023,15.17208758
RE1,CA_INDILU,2023,0.198929559
RE1,CA_INDMPW,2023,4.341492141
RE1,CA_INDREF,2023,0.425455006
RE1,CA_RESCLIM_RUR,2023,0.062319184
RE1,CA_RESCLIM_URB,2023,1.744622853
RE1,CA_RESDHT_RUR,2023,6.831302271
RE1,CA_RESDHT_URB,2023,8.792409893
RE1,CA_RESILU_RUR,2023,0.016062673
RE1,CA_RESILU_URB,2023,0.249405096
RE1,CA_RESOTH_RUR,2023,0.1462578
RE1,CA_RESOTH_URB,2023,1.403222853
RE1,CA_RESREF_RUR,2023,0.04287969
RE1,CA_RESREF_URB,2023,1.783397323
RE1,CA_RESTV_RUR,2023,0.053223161
RE1,CA_RESTV_URB,2023,0.461260875
RE1,CA_RESWHT_RUR,2023,0.003957211
RE1,CA_RESWHT_URB,2023,0.089892762
RE1,CA_RESWSH_RUR,2023,0.03681469
RE1,CA_RESWSH_URB,2023,0.408410325
RE1,CA_TERCLIM_CEN,2023,3.677
RE1,CA_TERCLIM_FAN,2023,0.103
RE1,CA_TERCLIM_SPL,2023,0.404
RE1,CA_TERDHT,2023,2.96
RE1,CA_TERIHT,2023,0.306
RE1,CA_TERILU,2023,0.418
RE1,CA_TERMPW,2023,0.367
RE1,CA_TEROTH,2023,1.799
RE1,CA_TERREF_AUC,2023,0.285
RE1,CA_TERREF_CEN,2023,0.453
RE1,CA_TRAAVI,2023,16.028883
RE1,CA_TRABUS,2023,3.316942737
RE1,CA_TRAFWD,2023,1.641988421
RE1,CA_TRAMIC,2023,0.363813556
RE1,CA_TRAMRT,2023,4.356729
RE1,CA_TRAMTC,2023,3.02576021
RE1,CA_TRASTT,2023,0.606389545
RE1,CA_TRATAX,2023,2.132239362
RE1,CA_TRATCK,2023,1.458029331
RE1,IN_AGFELC,2023,0.0008851
RE1,IN_AGFHEA,2023,0.011134
RE1,IN_RESCLIM,2023,0.021531
RE1,IN_RESDHT,2023,0.056263
RE1,IN_RESOTH,2023,0.052082
RE1,IN_RESREF,2023,0.019464
RE1,IN_TERDHT,2023,0.043
RE1,IN_TRAAVI,2023,0.164877
RE1,IN_TRAFWD,2023,0.012086
RE1,IN_TRAMIC,2023,0.003052
RE1,IN_TRAMRT,2023,0.450079
RE1,IN_TRAMTC,2023,0.018001
RE1,IN_TRATAX,2023,0.007309
RE1,IN_TRATCK,2023,0.011918
RE1,NE_AGFELC,2023,0.6693202
RE1,NE_AGFHEA,2023,8.304809
RE1,NE_INDCLIM,2023,0.341865488
RE1,NE_INDDHT,2023,6.984944423
RE1,NE_INDIHT,2023,9.82415481
RE1,NE_INDILU,2023,0.550094368
RE1,NE_INDMPW,2023,9.24842501
RE1,NE_INDREF,2023,0.416116652
RE1,NE_RESCLIM_RUR,2023,0.019779705
RE1,NE_RESCLIM_URB,2023,0.277586034
RE1,NE_RESDHT_RUR,2023,2.973797088
RE1,NE_RESDHT_URB,2023,4.590314135
RE1,NE_RESILU_RUR,2023,0.020881773
RE1,NE_RESILU_URB,2023,0.13479714
RE1,NE_RESOTH_RUR,2023,0.137002628
RE1,NE_RESOTH_URB,2023,0.708144077
RE1,NE_RESREF_RUR,2023,0.052963134
RE1,NE_RESREF_URB,2023,0.93591225
RE1,NE_RESTV_RUR,2023,0.056631829
RE1,NE_RESTV_URB,2023,0.234507177
RE1,NE_RESWHT_RUR,2023,0.04165989
RE1,NE_RESWHT_URB,2023,0.576027246
RE1,NE_RESWSH_RUR,2023,0.033723713
RE1,NE_RESWSH_URB,2023,0.221712452
RE1,NE_TERCLIM_CEN,2023,1.911
RE1,NE_TERCLIM_FAN,2023,0.054
RE1,NE_TERCLIM_SPL,2023,0.21
