REGION,TECHNOLOGY,MODE_OF_OPERATION,YEAR,VALUE
RE1,AN_DEMINDLPGBOI_HIG,2,2022,0.0
RE1,AN_DEMINDLPGBOI_LOW,1,2022,0.0
RE1,AN_DEMINDLPGBOI_LOW,2,2022,0.0
RE1,AN_DEMINDLPGBOI_MID,1,2022,0.0
RE1,AN_DEMINDLPGBOI_MID,2,2022,0.0
RE1,AN_DEMINDLPGFUR_HIG,1,2022,0.0
RE1,AN_DEMINDLPGFUR_HIG,2,2022,0.0
RE1,AN_DEMINDLPGFUR_LOW,1,2022,0.0
RE1,AN_DEMINDLPGFUR_LOW,2,2022,0.0
RE1,AN_DEMINDLPGFUR_MID,1,2022,0.0
RE1,AN_DEMINDLPGFUR_MID,2,2022,0.0
RE1,AN_DEMINDNGSBOI_HIG,1,2022,0.0
RE1,AN_DEMINDNGSBOI_HIG,2,2022,0.0
RE1,AN_DEMINDNGSBOI_LOW,1,2022,0.0
RE1,AN_DEMINDNGSBOI_LOW,2,2022,0.0
RE1,AN_DEMINDNGSBOI_MID,1,2022,0.0
RE1,AN_DEMINDNGSBOI_MID,2,2022,0.0
RE1,AN_DEMINDNGSFURCSS,1,2022,0.0
RE1,AN_DEMINDNGSFURCSS,2,2022,0.0
RE1,AN_DEMINDNGSFUR_HIG,1,2022,0.0
RE1,AN_DEMINDNGSFUR_HIG,2,2022,0.0
RE1,AN_DEMINDNGSFUR_LOW,1,2022,0.0
RE1,AN_DEMINDNGSFUR_LOW,2,2022,0.0
RE1,AN_DEMINDNGSFUR_MID,1,2022,0.0
RE1,AN_DEMINDNGSFUR_MID,2,2022,0.0
RE1,AN_DEMMINIDSL,1,2022,0.0
RE1,AN_DEMMINIDSL,2,2022,0.0
RE1,AN_DEMMINIELC,1,2022,0.0
RE1,AN_DEMMINIELC,2,2022,0.0
RE1,AN_DEMMINIGSL,1,2022,0.0
RE1,AN_DEMMINIGSL,2,2022,0.0
RE1,AN_DEMMININGS,1,2022,0.0
RE1,AN_DEMMININGS,2,2022,0.0
RE1,AN_DEMNSEELC,1,2022,0.0
RE1,AN_DEMNSEELC,2,2022,0.0
RE1,AN_DEMRESBGSCKN_MID_RUR,1,2022,0.0
RE1,AN_DEMRESBGSCKN_MID_RUR,2,2022,0.0
RE1,AN_DEMRESELCAIR_PAR_HIG_RUR,1,2022,0.0
RE1,AN_DEMRESELCAIR_PAR_HIG_RUR,2,2022,0.0
RE1,AN_DEMRESELCAIR_PAR_HIG_URB,1,2022,0.0
RE1,AN_DEMRESELCAIR_PAR_HIG_URB,2,2022,0.0
RE1,AN_DEMRESELCAIR_PAR_LOW_RUR,1,2022,0.0
RE1,AN_DEMRESELCAIR_PAR_LOW_RUR,2,2022,0.0
RE1,AN_DEMRESELCAIR_PAR_LOW_URB,1,2022,0.0
RE1,AN_DEMRESELCAIR_PAR_LOW_URB,2,2022,0.0
RE1,AN_DEMRESELCAIR_PAR_MID_RUR,1,2022,0.0
RE1,AN_DEMRESELCAIR_PAR_MID_RUR,2,2022,0.0
RE1,AN_DEMRESELCAIR_PAR_MID_URB,1,2022,0.0
RE1,AN_DEMRESELCAIR_PAR_MID_URB,2,2022,0.0
RE1,AN_DEMRESELCAIR_POR_HIG_RUR,1,2022,0.0
RE1,AN_DEMRESELCAIR_POR_HIG_RUR,2,2022,0.0
RE1,AN_DEMRESELCAIR_POR_HIG_URB,1,2022,0.0
RE1,AN_DEMRESELCAIR_POR_HIG_URB,2,2022,0.0
RE1,AN_DEMRESELCAIR_POR_LOW_RUR,1,2022,0.0
RE1,AN_DEMRESELCAIR_POR_LOW_RUR,2,2022,0.0
RE1,AN_DEMRESELCAIR_POR_LOW_URB,1,2022,0.0
RE1,AN_DEMRESELCAIR_POR_LOW_URB,2,2022,0.0
RE1,AN_DEMRESELCAIR_POR_MID_RUR,1,2022,0.0
RE1,AN_DEMRESELCAIR_POR_MID_RUR,2,2022,0.0
RE1,AN_DEMRESELCAIR_POR_MID_URB,1,2022,0.0
RE1,AN_DEMRESELCAIR_POR_MID_URB,2,2022,0.0
RE1,AN_DEMRESELCAIR_SPL_HIG_RUR,1,2022,0.0
RE1,AN_DEMRESELCAIR_SPL_HIG_RUR,2,2022,0.0
RE1,AN_DEMRESELCAIR_SPL_HIG_URB,1,2022,0.0
RE1,AN_DEMRESELCAIR_SPL_HIG_URB,2,2022,0.0
RE1,AN_DEMRESELCAIR_SPL_LOW_RUR,1,2022,0.0
RE1,AN_DEMRESELCAIR_SPL_LOW_RUR,2,2022,0.0
RE1,AN_DEMRESELCAIR_SPL_LOW_URB,1,2022,0.0
RE1,AN_DEMRESELCAIR_SPL_LOW_URB,2,2022,0.0
RE1,AN_DEMRESELCAIR_SPL_MID_RUR,1,2022,0.0
RE1,AN_DEMRESELCAIR_SPL_MID_RUR,2,2022,0.0
RE1,AN_DEMRESELCAIR_SPL_MID_URB,1,2022,0.0
RE1,AN_DEMRESELCAIR_SPL_MID_URB,2,2022,0.0
RE1,AN_DEMRESELCCKN_HIG_RUR,1,2022,0.0
RE1,AN_DEMRESELCCKN_HIG_RUR,2,2022,0.0
RE1,AN_DEMRESELCCKN_HIG_URB,1,2022,0.0
RE1,AN_DEMRESELCCKN_HIG_URB,2,2022,0.0
RE1,AN_DEMRESELCCKN_LOW_RUR,1,2022,0.0
RE1,AN_DEMRESELCCKN_LOW_RUR,2,2022,0.0
RE1,AN_DEMRESELCCKN_LOW_URB,1,2022,0.0
RE1,AN_DEMRESELCCKN_LOW_URB,2,2022,0.0
RE1,AN_DEMRESELCCKN_MID_RUR,1,2022,0.0
RE1,AN_DEMRESELCCKN_MID_RUR,2,2022,0.0
RE1,AN_DEMRESELCCKN_MID_URB,1,2022,0.0
RE1,AN_DEMRESELCCKN_MID_URB,2,2022,0.0
RE1,AN_DEMRESELCFAN_HIG_RUR,1,2022,0.0
RE1,AN_DEMRESELCFAN_HIG_RUR,2,2022,0.0
RE1,AN_DEMRESELCFAN_HIG_URB,1,2022,0.0
RE1,AN_DEMRESELCFAN_HIG_URB,2,2022,0.0
RE1,AN_DEMRESELCFAN_LOW_RUR,1,2022,0.0
RE1,AN_DEMRESELCFAN_LOW_RUR,2,2022,0.0
RE1,AN_DEMRESELCFAN_LOW_URB,1,2022,0.0
RE1,AN_DEMRESELCFAN_LOW_URB,2,2022,0.0
RE1,AN_DEMRESELCFAN_MID_RUR,1,2022,0.0
RE1,AN_DEMRESELCFAN_MID_RUR,2,2022,0.0
RE1,AN_DEMRESELCFAN_MID_URB,1,2022,0.0
RE1,AN_DEMRESELCFAN_MID_URB,2,2022,0.0
RE1,AN_DEMRESELCILU_HIG_RUR,1,2022,0.0
RE1,AN_DEMRESELCILU_HIG_RUR,2,2022,0.0
RE1,AN_DEMRESELCILU_HIG_URB,1,2022,0.0
RE1,AN_DEMRESELCILU_HIG_URB,2,2022,0.0
RE1,AN_DEMRESELCILU_INC_RUR,1,2022,0.0
RE1,AN_DEMRESELCILU_INC_RUR,2,2022,0.0
RE1,AN_DEMRESELCILU_INC_URB,1,2022,0.0
RE1,AN_DEMRESELCILU_INC_URB,2,2022,0.0
RE1,AN_DEMRESELCILU_LFC_RUR,1,2022,0.0
RE1,AN_DEMRESELCILU_LFC_RUR,2,2022,0.0
RE1,AN_DEMRESELCILU_LFC_URB,1,2022,0.0
RE1,AN_DEMRESELCILU_LFC_URB,2,2022,0.0
RE1,AN_DEMRESELCILU_LOW_RUR,1,2022,0.0
RE1,AN_DEMRESELCILU_LOW_RUR,2,2022,0.0
RE1,AN_DEMRESELCILU_LOW_URB,1,2022,0.0
RE1,AN_DEMRESELCILU_LOW_URB,2,2022,0.0
RE1,AN_DEMRESELCILU_MID_RUR,1,2022,0.0
RE1,AN_DEMRESELCILU_MID_RUR,2,2022,0.0
RE1,AN_DEMRESELCILU_MID_URB,1,2022,0.0
RE1,AN_DEMRESELCILU_MID_URB,2,2022,0.0
RE1,AN_DEMRESELCOTH_HIG_RUR,1,2022,0.0
RE1,AN_DEMRESELCOTH_HIG_RUR,2,2022,0.0
RE1,AN_DEMRESELCOTH_HIG_URB,1,2022,0.0
RE1,AN_DEMRESELCOTH_HIG_URB,2,2022,0.0
RE1,AN_DEMRESELCOTH_LOW_RUR,1,2022,0.0
RE1,AN_DEMRESELCOTH_LOW_RUR,2,2022,0.0
RE1,AN_DEMRESELCOTH_LOW_URB,1,2022,0.0
RE1,AN_DEMRESELCOTH_LOW_URB,2,2022,0.0
RE1,AN_DEMRESELCOTH_MID_RUR,1,2022,0.0
RE1,AN_DEMRESELCOTH_MID_RUR,2,2022,0.0
RE1,AN_DEMRESELCOTH_MID_URB,1,2022,0.0
RE1,AN_DEMRESELCOTH_MID_URB,2,2022,0.0
RE1,AN_DEMRESELCREF_HIG_RUR,1,2022,0.0
RE1,AN_DEMRESELCREF_HIG_RUR,2,2022,0.0
RE1,AN_DEMRESELCREF_HIG_URB,1,2022,0.0
RE1,AN_DEMRESELCREF_HIG_URB,2,2022,0.0
RE1,AN_DEMRESELCREF_LOW_RUR,1,2022,0.0
RE1,AN_DEMRESELCREF_LOW_RUR,2,2022,0.0
RE1,AN_DEMRESELCREF_LOW_URB,1,2022,0.0
RE1,AN_DEMRESELCREF_LOW_URB,2,2022,0.0
RE1,AN_DEMRESELCREF_MID_RUR,1,2022,0.0
RE1,AN_DEMRESELCREF_MID_RUR,2,2022,0.0
RE1,AN_DEMRESELCREF_MID_URB,1,2022,0.0
RE1,AN_DEMRESELCREF_MID_URB,2,2022,0.0
RE1,AN_DEMRESELCTV_CRT_RUR,1,2022,0.0
RE1,AN_DEMRESELCTV_CRT_RUR,2,2022,0.0
RE1,AN_DEMRESELCTV_CRT_URB,1,2022,0.0
RE1,AN_DEMRESELCTV_CRT_URB,2,2022,0.0
RE1,AN_DEMRESELCTV_HIG_RUR,1,2022,0.0
RE1,AN_DEMRESELCTV_HIG_RUR,2,2022,0.0
RE1,AN_DEMRESELCTV_HIG_URB,1,2022,0.0
RE1,AN_DEMRESELCTV_HIG_URB,2,2022,0.0
RE1,AN_DEMRESELCTV_LOW_RUR,1,2022,0.0
RE1,AN_DEMRESELCTV_LOW_RUR,2,2022,0.0
RE1,AN_DEMRESELCTV_LOW_URB,1,2022,0.0
RE1,AN_DEMRESELCTV_LOW_URB,2,2022,0.0
RE1,AN_DEMRESELCTV_MID_RUR,1,2022,0.0
RE1,AN_DEMRESELCTV_MID_RUR,2,2022,0.0
RE1,AN_DEMRESELCTV_MID_URB,1,2022,0.0
RE1,AN_DEMRESELCTV_MID_URB,2,2022,0.0
RE1,AN_DEMRESELCWHT_DUC_HIG_RUR,1,2022,0.0
RE1,AN_DEMRESELCWHT_DUC_HIG_RUR,2,2022,0.0
RE1,AN_DEMRESELCWHT_DUC_HIG_URB,1,2022,0.0
RE1,AN_DEMRESELCWHT_DUC_HIG_URB,2,2022,0.0
RE1,AN_DEMRESELCWHT_DUC_LOW_RUR,1,2022,0.0
RE1,AN_DEMRESELCWHT_DUC_LOW_RUR,2,2022,0.0
RE1,AN_DEMRESELCWHT_DUC_LOW_URB,1,2022,0.0
RE1,AN_DEMRESELCWHT_DUC_LOW_URB,2,2022,0.0
RE1,AN_DEMRESELCWHT_DUC_MID_RUR,1,2022,0.0
RE1,AN_DEMRESELCWHT_DUC_MID_RUR,2,2022,0.0
RE1,AN_DEMRESELCWHT_DUC_MID_URB,1,2022,0.0
RE1,AN_DEMRESELCWHT_DUC_MID_URB,2,2022,0.0
RE1,AN_DEMRESELCWHT_PAS_HIG_RUR,1,2022,0.0
RE1,AN_DEMRESELCWHT_PAS_HIG_RUR,2,2022,0.0
RE1,AN_DEMRESELCWHT_PAS_HIG_URB,1,2022,0.0
RE1,AN_DEMRESELCWHT_PAS_HIG_URB,2,2022,0.0
RE1,AN_DEMRESELCWHT_PAS_LOW_RUR,1,2022,0.0
RE1,AN_DEMRESELCWHT_PAS_LOW_RUR,2,2022,0.0
RE1,AN_DEMRESELCWHT_PAS_LOW_URB,1,2022,0.0
RE1,AN_DEMRESELCWHT_PAS_LOW_URB,2,2022,0.0
RE1,AN_DEMRESELCWHT_PAS_MID_RUR,1,2022,0.0
RE1,AN_DEMRESELCWHT_PAS_MID_RUR,2,2022,0.0
RE1,AN_DEMRESELCWHT_PAS_MID_URB,1,2022,0.0
RE1,AN_DEMRESELCWHT_PAS_MID_URB,2,2022,0.0
RE1,AN_DEMRESELCWHT_TAN_HIG_RUR,1,2022,0.0
RE1,AN_DEMRESELCWHT_TAN_HIG_RUR,2,2022,0.0
RE1,AN_DEMRESELCWHT_TAN_HIG_URB,1,2022,0.0
RE1,AN_DEMRESELCWHT_TAN_HIG_URB,2,2022,0.0
RE1,AN_DEMRESELCWHT_TAN_LOW_RUR,1,2022,0.0
RE1,AN_DEMRESELCWHT_TAN_LOW_RUR,2,2022,0.0
RE1,AN_DEMRESELCWHT_TAN_LOW_URB,1,2022,0.0
RE1,AN_DEMRESELCWHT_TAN_LOW_URB,2,2022,0.0
RE1,AN_DEMRESELCWHT_TAN_MID_RUR,1,2022,0.0
RE1,AN_DEMRESELCWHT_TAN_MID_RUR,2,2022,0.0
RE1,AN_DEMRESELCWHT_TAN_MID_URB,1,2022,0.0
RE1,AN_DEMRESELCWHT_TAN_MID_URB,2,2022,0.0
RE1,AN_DEMRESELCWSH_HIG_RUR,1,2022,0.0
RE1,AN_DEMRESELCWSH_HIG_RUR,2,2022,0.0
RE1,AN_DEMRESELCWSH_HIG_URB,1,2022,0.0
RE1,AN_DEMRESELCWSH_HIG_URB,2,2022,0.0
RE1,AN_DEMRESELCWSH_LOW_RUR,1,2022,0.0
RE1,AN_DEMRESELCWSH_LOW_RUR,2,2022,0.0
RE1,AN_DEMRESELCWSH_LOW_URB,1,2022,0.0
RE1,AN_DEMRESELCWSH_LOW_URB,2,2022,0.0
RE1,AN_DEMRESELCWSH_MID_RUR,1,2022,0.0
RE1,AN_DEMRESELCWSH_MID_RUR,2,2022,0.0
RE1,AN_DEMRESELCWSH_MID_URB,1,2022,0.0
RE1,AN_DEMRESELCWSH_MID_URB,2,2022,0.0
RE1,AN_DEMRESLPGCKN_HIG_RUR,1,2022,0.0
RE1,AN_DEMRESLPGCKN_HIG_RUR,2,2022,0.0
RE1,AN_DEMRESLPGCKN_HIG_URB,1,2022,0.0
RE1,AN_DEMRESLPGCKN_HIG_URB,2,2022,0.0
RE1,AN_DEMRESLPGCKN_LOW_RUR,1,2022,0.0
RE1,AN_DEMRESLPGCKN_LOW_RUR,2,2022,0.0
RE1,AN_DEMRESLPGCKN_LOW_URB,1,2022,0.0
RE1,AN_DEMRESLPGCKN_LOW_URB,2,2022,0.0
RE1,AN_DEMRESLPGCKN_MID_RUR,1,2022,0.0
