REGION,TECHNOLOGY,FUEL,MODE_OF_OPERATION,YEAR,VALUE
RE1,AN_DEMINDDSLBOI_MID,AN_INDIHT,1,2022,1.0
RE1,AN_DEMINDDSLFUR_HIG,AN_INDDHT,1,2022,1.0
RE1,AN_DEMINDDSLFUR_LOW,AN_INDDHT,1,2022,1.0
RE1,AN_DEMINDDSLFUR_MID,AN_INDDHT,1,2022,1.0
RE1,AN_DEMINDELCAIR_HIG,AN_INDCLIM,1,2022,1.0
RE1,AN_DEMINDELCAIR_LOW,AN_INDCLIM,1,2022,1.0
RE1,AN_DEMINDELCAIR_MID,AN_INDCLIM,1,2022,1.0
RE1,AN_DEMINDELCBOI_HIG,AN_INDIHT,1,2022,1.0
RE1,AN_DEMINDELCBOI_LOW,AN_INDIHT,1,2022,1.0
RE1,AN_DEMINDELCBOI_MID,AN_INDIHT,1,2022,1.0
RE1,AN_DEMINDELCFUR_HIG,AN_INDDHT,1,2022,1.0
RE1,AN_DEMINDELCFUR_LOW,AN_INDDHT,1,2022,1.0
RE1,AN_DEMINDELCFUR_MID,AN_INDDHT,1,2022,1.0
RE1,AN_DEMINDELCILU_HIG,AN_INDILU,1,2022,1.0
RE1,AN_DEMINDELCILU_LOW,AN_INDILU,1,2022,1.0
RE1,AN_DEMINDELCILU_MID,AN_INDILU,1,2022,1.0
RE1,AN_DEMINDELCMPW_HIG,AN_INDMPW,1,2022,1.0
RE1,AN_DEMINDELCMPW_LOW,AN_INDMPW,1,2022,1.0
RE1,AN_DEMINDELCMPW_MID,AN_INDMPW,1,2022,1.0
RE1,AN_DEMINDELCOTH_HIG,AN_INDOTH_ELC,1,2022,1.0
RE1,AN_DEMINDELCOTH_LOW,AN_INDOTH_ELC,1,2022,1.0
RE1,AN_DEMINDELCOTH_MID,AN_INDOTH_ELC,1,2022,1.0
RE1,AN_DEMINDELCREF_HIG,AN_INDREF,1,2022,1.0
RE1,AN_DEMINDELCREF_LOW,AN_INDREF,1,2022,1.0
RE1,AN_DEMINDELCREF_MID,AN_INDREF,1,2022,1.0
RE1,AN_DEMINDHDGBOI_HIG,AN_INDIHT,1,2022,1.0
RE1,AN_DEMINDHDGBOI_LOW,AN_INDIHT,1,2022,1.0
RE1,AN_DEMINDLPGBOI_HIG,AN_INDIHT,1,2022,1.0
RE1,AN_DEMINDLPGBOI_LOW,AN_INDIHT,1,2022,1.0
RE1,AN_DEMINDLPGBOI_MID,AN_INDIHT,1,2022,1.0
RE1,AN_DEMINDLPGFUR_HIG,AN_INDDHT,1,2022,1.0
RE1,AN_DEMINDLPGFUR_LOW,AN_INDDHT,1,2022,1.0
RE1,AN_DEMINDLPGFUR_MID,AN_INDDHT,1,2022,1.0
