REGION,FUEL,YEAR,VALUE
RE1,AGFELC,2022,3.187044026954857
RE1,AGFELC,2023,3.351383972607565
RE1,AGFELC,2024,3.406067970091571
RE1,AGFELC,2025,3.532115961122605
RE1,AGFELC,2026,3.629025584379814
RE1,AGFELC,2027,3.733136634602677
RE1,AGFELC,2028,3.841647411981113
RE1,AGFELC,2029,3.95368686085269
RE1,AGFELC,2030,4.068490551673469
RE1,AGFELC,2031,4.186085114520813
RE1,AGFELC,2032,4.307487911584928
RE1,AGFELC,2033,4.432885602691693
RE1,AGFELC,2034,4.561922212520638
RE1,AGFELC,2035,4.701856423681391
RE1,AGFELC,2036,4.845994629559388
RE1,AGFELC,2037,5.000304335115323
RE1,AGFELC,2038,5.159284807866439
RE1,AGFELC,2039,5.323081617996461
RE1,AGFELC,2040,5.491840394178453
RE1,AGFELC,2041,5.66571304057644
RE1,AGFELC,2042,5.862501077279783
RE1,AGFELC,2043,6.06536766629266
RE1,AGFELC,2044,6.274496416423308
RE1,AGFELC,2045,6.490076734505123
RE1,AGFELC,2046,6.712304015675426
RE1,AGFELC,2047,6.941384002636089
RE1,AGFELC,2048,7.189608349420947
RE1,AGFELC,2049,7.463826079194737
RE1,AGFELC,2050,7.746824139632172
RE1,AGFELC,2051,8.038864472697721
RE1,AGFELC,2052,8.340215882448545
RE1,AGFELC,2053,8.651150066865064
RE1,AGFELC,2054,8.974516880456846
RE1,AGFELC,2055,9.309501137197481
RE1,AGFHEA,2022,40.43784152085318
RE1,AGFHEA,2023,41.56887983459023
RE1,AGFHEA,2024,44.60165786844903
RE1,AGFHEA,2025,46.25222662407501
RE1,AGFHEA,2026,47.52123531639482
RE1,AGFHEA,2027,48.88454499874394
RE1,AGFHEA,2028,50.30546807196797
RE1,AGFHEA,2029,51.7725982673191
RE1,AGFHEA,2030,53.27592555995852
RE1,AGFHEA,2031,54.81579866447733
RE1,AGFHEA,2032,56.40553969914638
RE1,AGFHEA,2033,58.04759293042319
RE1,AGFHEA,2034,59.73729694532589
RE1,AGFHEA,2035,61.56970248305665
RE1,AGFHEA,2036,63.45715834148147
RE1,AGFHEA,2037,65.47780759258903
RE1,AGFHEA,2038,67.55961944005458
RE1,AGFHEA,2039,69.70450009114921
RE1,AGFHEA,2040,71.91435651904808
RE1,AGFHEA,2041,74.19117787300256
RE1,AGFHEA,2042,76.76807086595429
RE1,AGFHEA,2043,79.42456106977379
RE1,AGFHEA,2044,82.16305279856121
RE1,AGFHEA,2045,84.98602629019061
RE1,AGFHEA,2046,87.89604019796562
RE1,AGFHEA,2047,90.89578867411055
RE1,AGFHEA,2048,94.14622803325813
RE1,AGFHEA,2049,97.73704462066304
RE1,AGFHEA,2050,101.4428375701578
RE1,AGFHEA,2051,105.2670369500742
RE1,AGFHEA,2052,109.213162686232
RE1,AGFHEA,2053,113.2847725996942
RE1,AGFHEA,2054,117.5191848640635
RE1,AGFHEA,2055,121.9057248103174
RE1,BAG,2022,0.0
RE1,BAG,2023,0.0
RE1,BAG,2024,0.0
RE1,BAG,2025,0.0
RE1,BAG,2026,0.0
RE1,BAG,2027,0.0
RE1,BAG,2028,0.0
RE1,BAG,2029,0.0
RE1,BAG,2030,0.0
RE1,BAG,2031,0.0
