REGION,FUEL,TIMESLICE,YEAR,VALUE
RE1,AGFELC,S105,2048,0.0
RE1,AGFELC,S105,2049,0.0
RE1,AGFELC,S105,2050,0.0
RE1,AGFELC,S105,2051,0.0
RE1,AGFELC,S105,2052,0.0
RE1,AGFELC,S105,2053,0.0
RE1,AGFELC,S105,2054,0.0
RE1,AGFELC,S106,2022,0.0
RE1,AGFELC,S106,2023,0.0
RE1,AGFELC,S106,2024,0.0
RE1,AGFELC,S106,2025,0.0
RE1,AGFELC,S106,2026,0.0
RE1,AGFELC,S106,2027,0.0
RE1,AGFELC,S106,2028,0.0
RE1,AGFELC,S106,2029,0.0
RE1,AGFELC,S106,2030,0.0
RE1,AGFELC,S106,2031,0.0
RE1,AGFELC,S106,2032,0.0
RE1,AGFELC,S106,2033,0.0
RE1,AGFELC,S106,2034,0.0
RE1,AGFELC,S106,2035,0.0
RE1,AGFELC,S106,2036,0.0
RE1,AGFELC,S106,2037,0.0
RE1,AGFELC,S106,2038,0.0
RE1,AGFELC,S106,2039,0.0
RE1,AGFELC,S106,2040,0.0
RE1,AGFELC,S106,2041,0.0
RE1,AGFELC,S106,2042,0.0
RE1,AGFELC,S106,2043,0.0
RE1,AGFELC,S106,2044,0.0
RE1,AGFELC,S106,2045,0.0
RE1,AGFELC,S106,2046,0.0
RE1,AGFELC,S106,2047,0.0
RE1,AGFELC,S106,2048,0.0
RE1,AGFELC,S106,2049,0.0
RE1,AGFELC,S106,2050,0.0
RE1,AGFELC,S106,2051,0.0
RE1,AGFELC,S106,2052,0.0
RE1,AGFELC,S106,2053,0.0
RE1,AGFELC,S106,2054,0.0
RE1,AGFELC,S107,2022,0.0
RE1,AGFELC,S107,2023,0.0
RE1,AGFELC,S107,2024,0.0
RE1,AGFELC,S107,2025,0.0
RE1,AGFELC,S107,2026,0.0
RE1,AGFELC,S107,2027,0.0
RE1,AGFELC,S107,2028,0.0
RE1,AGFELC,S107,2029,0.0
RE1,AGFELC,S107,2030,0.0
RE1,AGFELC,S107,2031,0.0
RE1,AGFELC,S107,2032,0.0
RE1,AGFELC,S107,2033,0.0
RE1,AGFELC,S107,2034,0.0
RE1,AGFELC,S107,2035,0.0
RE1,AGFELC,S107,2036,0.0
RE1,AGFELC,S107,2037,0.0
RE1,AGFELC,S107,2038,0.0
RE1,AGFELC,S107,2039,0.0
RE1,AGFELC,S107,2040,0.0
RE1,AGFELC,S107,2041,0.0
RE1,AGFELC,S107,2042,0.0
RE1,AGFELC,S107,2043,0.0
RE1,AGFELC,S107,2044,0.0
RE1,AGFELC,S107,2045,0.0
RE1,AGFELC,S107,2046,0.0
RE1,AGFELC,S107,2047,0.0
RE1,AGFELC,S107,2048,0.0
RE1,AGFELC,S107,2049,0.0
RE1,AGFELC,S107,2050,0.0
RE1,AGFELC,S107,2051,0.0
RE1,AGFELC,S107,2052,0.0
RE1,AGFELC,S107,2053,0.0
RE1,AGFELC,S107,2054,0.0
RE1,AGFELC,S108,2022,0.0
RE1,AGFELC,S108,2023,0.0
RE1,AGFELC,S108,2024,0.0
RE1,AGFELC,S108,2025,0.0
RE1,AGFELC,S108,2026,0.0
RE1,AGFELC,S108,2027,0.0
RE1,AGFELC,S108,2028,0.0
RE1,AGFELC,S108,2029,0.0
RE1,AGFELC,S108,2030,0.0
RE1,AGFELC,S108,2031,0.0
RE1,AGFELC,S108,2032,0.0
RE1,AGFELC,S108,2033,0.0
RE1,AGFELC,S108,2034,0.0
RE1,AGFELC,S108,2035,0.0
RE1,AGFELC,S108,2036,0.0
RE1,AGFELC,S108,2037,0.0
RE1,AGFELC,S108,2038,0.0
RE1,AGFELC,S108,2039,0.0
RE1,AGFELC,S108,2040,0.0
RE1,AGFELC,S108,2041,0.0
RE1,AGFELC,S108,2042,0.0
RE1,AGFELC,S108,2043,0.0
RE1,AGFELC,S108,2044,0.0
RE1,AGFELC,S108,2045,0.0
RE1,AGFELC,S108,2046,0.0
RE1,AGFELC,S108,2047,0.0
RE1,AGFELC,S108,2048,0.0
RE1,AGFELC,S108,2049,0.0
RE1,AGFELC,S108,2050,0.0
RE1,AGFELC,S108,2051,0.0
RE1,AGFELC,S108,2052,0.0
RE1,AGFELC,S108,2053,0.0
RE1,AGFELC,S108,2054,0.0
RE1,AGFELC,S109,2022,0.0
RE1,AGFELC,S109,2023,0.0
RE1,AGFELC,S109,2024,0.0
RE1,AGFELC,S109,2025,0.0
