Parametro,Dimension,Codigo_Destino,Region,Anio,Participacion_Efectiva,Valor_Absoluto
ResidualCapacity,TECHNOLOGY,IN_DEMRESELCAIR_PAR_MID,IN,2037,0.012264,0.000119
ResidualCapacity,TECHNOLOGY,IN_DEMRESELCAIR_PAR_MID,IN,2038,0.012252,0.000106
ResidualCapacity,TECHNOLOGY,IN_DEMRESELCAIR_PAR_MID,IN,2039,0.012236,9.1e-05
ResidualCapacity,TECHNOLOGY,IN_DEMRESELCAIR_PAR_MID,IN,2040,0.012224,7.6e-05
ResidualCapacity,TECHNOLOGY,IN_DEMRESELCAIR_PAR_MID,IN,2041,0.012211,6e-05
ResidualCapacity,TECHNOLOGY,IN_DEMRESELCAIR_PAR_MID,IN,2042,0.012206,4.6e-05
ResidualCapacity,TECHNOLOGY,IN_DEMRESELCAIR_PAR_MID,IN,2043,0.012198,3.3e-05
ResidualCapacity,TECHNOLOGY,IN_DEMRESELCAIR_PAR_MID,IN,2044,0.012196,2.2e-05
ResidualCapacity,TECHNOLOGY,IN_DEMRESELCAIR_PAR_MID,IN,2045,0.012196,1.4e-05
ResidualCapacity,TECHNOLOGY,IN_DEMRESELCAIR_PAR_MID,IN,2046,0.012188,8e-06
ResidualCapacity,TECHNOLOGY,IN_DEMRESELCAIR_PAR_MID,IN,2047,0.012189,4e-06
ResidualCapacity,TECHNOLOGY,IN_DEMRESELCAIR_PAR_MID,IN,2048,0.012191,2e-06
ResidualCapacity,TECHNOLOGY,IN_DEMRESELCAIR_PAR_MID,IN,2049,0.012189,1e-06
ResidualCapacity,TECHNOLOGY,IN_DEMRESELCAIR_PAR_MID,IN,2050,0.012196,0.0
ResidualCapacity,TECHNOLOGY,IN_DEMRESELCAIR_PAR_MID,IN,2051,0.012204,0.0
ResidualCapacity,TECHNOLOGY,IN_DEMRESELCAIR_PAR_MID,IN,2052,0.012215,0.0
ResidualCapacity,TECHNOLOGY,IN_DEMRESELCAIR_PAR_MID,IN,2053,0.012229,0.0
ResidualCapacity,TECHNOLOGY,IN_DEMRESELCAIR_PAR_MID,IN,2054,0.012245,0.0
ResidualCapacity,TECHNOLOGY,IN_DEMRESELCAIR_SPL_LOW,IN,2022,0.009832,0.008869
ResidualCapacity,TECHNOLOGY,IN_DEMRESELCAIR_SPL_LOW,IN,2023,0.009102,0.009167
ResidualCapacity,TECHNOLOGY,IN_DEMRESELCAIR_SPL_LOW,IN,2024,0.011822,0.013053
ResidualCapacity,TECHNOLOGY,IN_DEMRESELCAIR_SPL_LOW,IN,2025,0.012323,0.01355
ResidualCapacity,TECHNOLOGY,IN_DEMRESELCAIR_SPL_LOW,IN,2026,0.01234,0.013455
ResidualCapacity,TECHNOLOGY,IN_DEMRESELCAIR_SPL_LOW,IN,2027,0.012354,0.01322
ResidualCapacity,TECHNOLOGY,IN_DEMRESELCAIR_SPL_LOW,IN,2028,0.01236,0.012756
ResidualCapacity,TECHNOLOGY,IN_DEMRESELCAIR_SPL_LOW,IN,2029,0.012366,0.011968
ResidualCapacity,TECHNOLOGY,IN_DEMRESELCAIR_SPL_LOW,IN,2030,0.012362,0.010766
ResidualCapacity,TECHNOLOGY,IN_DEMRESELCAIR_SPL_LOW,IN,2031,0.012349,0.009122
ResidualCapacity,TECHNOLOGY,IN_DEMRESELCAIR_SPL_LOW,IN,2032,0.012334,0.007129
ResidualCapacity,TECHNOLOGY,IN_DEMRESELCAIR_SPL_LOW,IN,2033,0.01232,0.005004
ResidualCapacity,TECHNOLOGY,IN_DEMRESELCAIR_SPL_LOW,IN,2034,0.012304,0.003055
ResidualCapacity,TECHNOLOGY,IN_DEMRESELCAIR_SPL_LOW,IN,2035,0.012289,0.001563
ResidualCapacity,TECHNOLOGY,IN_DEMRESELCAIR_SPL_LOW,IN,2036,0.012271,0.000641
ResidualCapacity,TECHNOLOGY,IN_DEMRESELCAIR_SPL_LOW,IN,2037,0.012264,0.0002
ResidualCapacity,TECHNOLOGY,IN_DEMRESELCAIR_SPL_LOW,IN,2038,0.012252,4.5e-05
ResidualCapacity,TECHNOLOGY,IN_DEMRESELCAIR_SPL_LOW,IN,2039,0.012236,7e-06
ResidualCapacity,TECHNOLOGY,IN_DEMRESELCAIR_SPL_LOW,IN,2040,0.012224,1e-06
ResidualCapacity,TECHNOLOGY,IN_DEMRESELCAIR_SPL_LOW,IN,2041,0.012211,0.0
ResidualCapacity,TECHNOLOGY,IN_DEMRESELCAIR_SPL_LOW,IN,2042,0.012206,0.0
ResidualCapacity,TECHNOLOGY,IN_DEMRESELCAIR_SPL_LOW,IN,2043,0.012198,0.0
ResidualCapacity,TECHNOLOGY,IN_DEMRESELCAIR_SPL_LOW,IN,2044,0.012196,0.0
ResidualCapacity,TECHNOLOGY,IN_DEMRESELCAIR_SPL_LOW,IN,2045,0.012196,0.0
ResidualCapacity,TECHNOLOGY,IN_DEMRESELCAIR_SPL_LOW,IN,2046,0.012188,0.0
